name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn100525744,2.3992305135456737e-06,6.599435766428264,1.472,comp,"[-0.4946739, 555.7353]"
bn150906944,3.2436373013270346e-06,10.528589017453793,0.32,comp,"[-0.7777976, 570.8503]"
bn160714097,3.339344069466145e-06,5.328063964320228,0.32,plaw,[1.436566]
bn171030729,1.1425067680904638e-05,11.520389240499078,0.096,plaw,[1.296621]
bn170826369,3.0218941928067865e-06,10.45664090669741,0.256,comp,"[-1.062518, 722.4983]"
bn180311074,6.956080956777807e-06,11.267001633067895,0.96,plaw,[1.441067]
bn160603719,1.3288222664497853e-06,4.060910898310765,0.384,comp,"[-0.4932332, 493.4194]"
bn170222209,5.2659047641465415e-06,10.717488580790716,1.664,comp,"[-0.58921, 834.1014]"
bn090219074,1.0585992540909487e-05,14.762343576078008,0.448,plaw,[1.396118]
bn140724533,2.611480461575051e-06,4.46611457496338,0.896,plaw,[1.457297]
bn130706900,1.9843005882091704e-06,6.811455900159717,0.128,comp,"[-0.4525248, 422.3404]"
bn121119579,1.4383831996015302e-07,1.935593916262986,2.304,comp,"[-1.082056, 91.3795]"
bn180313978,4.15797838793094e-06,16.335726321967208,0.08,comp,"[-0.01932918, 299.7309]"
bn140720158,1.5879845920822258e-06,5.92526608750943,0.32,comp,"[-0.4203456, 377.5847]"
bn150312403,1.2911139565775668e-06,6.049100305426595,0.32,comp,"[-0.4839129, 300.8777]"
bn110213876,6.2247250149830175e-06,5.1186053072062165,0.448,plaw,[1.231522]
bn150923429,6.397134635254728e-06,6.984820031841003,0.192,plaw,[1.321413]
bn170325331,2.425476474811363e-06,6.452141673545806,0.576,comp,"[-0.4901589, 575.1304]"
bn140105748,1.1108308829158114e-06,3.3541903471812256,0.576,comp,"[-0.08398413, 406.3376]"
bn170816599,1.1331297885075644e-05,14.881342921795719,1.6,comp,"[-0.5768291, 1337.131]"
bn101116481,1.5619130153311176e-06,4.434998615788587,0.576,comp,"[-0.1046184, 437.3415]"
bn111024896,1.0167557864799006e-06,4.48530547570211,0.96,comp,"[-0.3349986, 299.6304]"
bn081113230,9.704247803454592e-07,7.108954561665115,0.576,comp,"[-0.9729986, 227.7972]"
bn160314473,2.7624416819003028e-06,6.18160435914157,1.664,plaw,[1.537395]
bn080815917,3.904039921105156e-06,5.857461652680574,0.832,plaw,[1.418133]
bn150728151,1.1438038846983404e-06,4.9257976453925805,1.728,comp,"[-0.8060713, 411.7273]"
bn100301068,2.369209374869409e-06,8.11060343956219,0.96,comp,"[-0.3499259, 400.5231]"
